TicketID;ShowID
0010001A01;10001
0010001A02;10001
0010001A03;10001
0010001A04;10001
0010001A05;10001
0010001A06;10001
0010001A07;10001
0010001A08;10001
0010001A09;10001
0010001A10;10001
0010001B01;10001
0010001B02;10001
0010001B03;10001
0010001B04;10001
0010001B05;10001
0010001B06;10001
0010001B07;10001
0010001B08;10001
0010001B09;10001
0010001B10;10001
0010001C01;10001
0010001C02;10001
0010001C03;10001
0010001C04;10001
0010001C05;10001
0010001C06;10001
0010001C07;10001
0010001C08;10001
0010001C09;10001
0010001C10;10001
0010002A01;10002
0010002A02;10002
0010002A03;10002
0010002A04;10002
0010002A05;10002
0010002A06;10002
0010002A07;10002
0010002A08;10002
0010002A09;10002
0010002A10;10002
0010002B01;10002
0010002B02;10002
0010002B03;10002
0010002B04;10002
0010002B05;10002
0010002B06;10002
0010002B07;10002
0010002B08;10002
0010002B09;10002
0010002B10;10002
0010002C01;10002
0010002C02;10002
0010002C03;10002
0010002C04;10002
0010002C05;10002
0010002C06;10002
0010002C07;10002
0010002C08;10002
0010002C09;10002
0010002C10;10002
0020001A01;20001
0020001A02;20001
0020001A03;20001
0020001A04;20001
0020001A05;20001
0020001A06;20001
0020001A07;20001
0020001A08;20001
0020001A09;20001
0020001A10;20001
0020001B01;20001
0020001B02;20001
0020001B03;20001
0020001B04;20001
0020001B05;20001
0020001B06;20001
0020001B07;20001
0020001B08;20001
0020001B09;20001
0020001B10;20001
0020001C01;20001
0020001C02;20001
0020001C03;20001
0020001C04;20001
0020001C05;20001
0020001C06;20001
0020001C07;20001
0020001C08;20001
0020001C09;20001
0020001C10;20001
0020002A01;20002
0020002A02;20002
0020002A03;20002
0020002A04;20002
0020002A05;20002
0020002A06;20002
0020002A07;20002
0020002A08;20002
0020002A09;20002
0020002A10;20002
0020002B01;20002
0020002B02;20002
0020002B03;20002
0020002B04;20002
0020002B05;20002
0020002B06;20002
0020002B07;20002
0020002B08;20002
0020002B09;20002
0020002B10;20002
0020002C01;20002
0020002C02;20002
0020002C03;20002
0020002C04;20002
0020002C05;20002
0020002C06;20002
0020002C07;20002
0020002C08;20002
0020002C09;20002
0020002C10;20002
0030001A01;30001
0030001A02;30001
0030001A03;30001
0030001A04;30001
0030001A05;30001
0030001A06;30001
0030001A07;30001
0030001A08;30001
0030001A09;30001
0030001A10;30001
0030001B01;30001
0030001B02;30001
0030001B03;30001
0030001B04;30001
0030001B05;30001
